,Name,Matches,Kills,Assists,Deaths,MVPs,Score,Win,Lose,Draw,KD,Win PCT,Avg. Score
0,Old Man East,437,6445,1571,7459,828,17370,231,181,25,0.864056844080976,55.72082379862701,39.74828375286041
1,Old Man Scraps,266,5208,1082,4548,814,13200,140,120,6,1.1451187335092348,53.75939849624061,49.62406015037594
2,FriendlyCone,212,6217,899,3427,1086,14483,119,75,18,1.8141231397723956,60.37735849056604,68.31603773584905
3,Pringles,66,747,221,1129,78,1990,36,27,3,0.6616474756421612,56.81818181818182,30.151515151515152
4,Marthijn,51,664,179,880,89,1796,21,26,4,0.7545454545454545,45.09803921568628,35.21568627450981
5,GUZZA,48,880,222,855,148,2268,30,16,2,1.0292397660818713,64.58333333333334,47.25
6,QueenAmethyst,46,343,131,928,26,1049,25,21,0,0.36961206896551724,54.347826086956516,22.804347826086957
7,Callum,46,452,133,903,60,1226,19,23,4,0.5005537098560354,45.65217391304348,26.652173913043477
8,Uncle Boltie,44,892,198,780,149,2251,25,17,2,1.1435897435897435,59.09090909090909,51.15909090909091
9,Koekjestrommel,44,665,147,845,97,1682,15,26,3,0.7869822485207101,37.5,38.22727272727273
